Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Android\Android.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Android\Android.Automation.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Android\Android.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Android\AndroidPlatform.Automation.cs,433,3,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Array.ForEach(Vars, x => Environment.SetEnvironmentVariable(x, null));"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,,,Microsoft.IdentityModel.Tokens 6.36.0,,,,,"Microsoft.IdentityModel.Tokens, 6.36.0  Recommendation:  Move to latest Microsoft.IdentityModel.Tokens. See https://aka.ms/IdentityModel/LTS, Remove Microsoft.IdentityModel.Tokens, and replace with new package Microsoft.IdentityModel.Tokens, 8.17.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,,,System.IdentityModel.Tokens.Jwt 6.36.0,,,,,"System.IdentityModel.Tokens.Jwt, 6.36.0  Recommendation:  Move to latest https://aka.ms/IdentityModel/LTS Remove System.IdentityModel.Tokens.Jwt, and replace with new package System.IdentityModel.Tokens.Jwt, 8.17.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,713,2,T:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler,,,,,string FullToken = new JwtSecurityTokenHandler().WriteToken(JwtToken);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,713,2,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.#ctor,,,,,string FullToken = new JwtSecurityTokenHandler().WriteToken(JwtToken);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,713,2,M:System.IdentityModel.Tokens.Jwt.JwtSecurityTokenHandler.WriteToken(Microsoft.IdentityModel.Tokens.SecurityToken),,,,,string FullToken = new JwtSecurityTokenHandler().WriteToken(JwtToken);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,712,2,T:System.IdentityModel.Tokens.Jwt.JwtSecurityToken,,,,,"JwtSecurityToken JwtToken = new JwtSecurityToken(Header, Payload);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,712,2,"M:System.IdentityModel.Tokens.Jwt.JwtSecurityToken.#ctor(System.IdentityModel.Tokens.Jwt.JwtHeader,System.IdentityModel.Tokens.Jwt.JwtPayload)",,,,,"JwtSecurityToken JwtToken = new JwtSecurityToken(Header, Payload);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,704,2,T:System.IdentityModel.Tokens.Jwt.JwtPayload,,,,,"JwtPayload Payload = new JwtPayload  		{  			{ ""aud"", ""appstoreconnect-v1"" },  			{ ""exp"", (long)(DateTime.UtcNow - DateTime.UnixEpoch).TotalSeconds + 60 * 19 },  			{ ""iss"", IssuerID }  		};"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,704,2,M:System.IdentityModel.Tokens.Jwt.JwtPayload.#ctor,,,,,"JwtPayload Payload = new JwtPayload  		{  			{ ""aud"", ""appstoreconnect-v1"" },  			{ ""exp"", (long)(DateTime.UtcNow - DateTime.UnixEpoch).TotalSeconds + 60 * 19 },  			{ ""iss"", IssuerID }  		};"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,700,2,T:System.IdentityModel.Tokens.Jwt.JwtHeader,,,,,JwtHeader Header = new JwtHeader(Credentials);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,700,2,M:System.IdentityModel.Tokens.Jwt.JwtHeader.#ctor(Microsoft.IdentityModel.Tokens.SigningCredentials),,,,,JwtHeader Header = new JwtHeader(Credentials);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,474,3,T:System.Net.Http.HttpContent,,,,,"Logger.LogError(""Patch Localization Data failed!: StatusCode {Code}\n{Response}"", Response.StatusCode, Response.Content.ReadAsStringAsync().Result);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,454,3,T:System.Net.Http.HttpContent,,,,,"Logger.LogError(""Create Localization Data failed!: StatusCode {Code}\n{Response}"", Response.StatusCode, Response.Content.ReadAsStringAsync().Result);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,346,7,T:System.Uri,,,,,"SubURL = Response.links.next.Replace(HttpClient.BaseAddress.ToString(), """");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,255,4,T:System.Uri,,,,,"SubURL = Response.links.next.Replace(HttpClient.BaseAddress.ToString(), """");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,238,4,T:System.Uri,,,,,"SubURL = Build.relationships.preReleaseVersion.links.related.Replace(HttpClient.BaseAddress.ToString(), """");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,167,2,T:System.Uri,,,,,"HttpClient.BaseAddress = new Uri(""https://api.appstoreconnect.apple.com/v1/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,167,2,M:System.Uri.#ctor(System.String),,,,,"HttpClient.BaseAddress = new Uri(""https://api.appstoreconnect.apple.com/v1/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\Apple.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Apple\ExportAppleBuild.Automation.cs,167,2,T:System.Uri,,,,,"HttpClient.BaseAddress = new Uri(""https://api.appstoreconnect.apple.com/v1/"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\AutomationScripts.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\AutomationScripts.Automation.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\AutomationScripts.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\BenchmarkBuild\BenchmarkEditorTaskBase.cs,350,4,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(KV.Key, KV.Value);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\AutomationScripts.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\BenchmarkBuild\BenchmarkEditorTaskBase.cs,321,5,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(Key, ""None"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\AutomationScripts.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\BenchmarkBuild\BenchmarkEditorTaskBase.cs,314,5,"M:System.Environment.SetEnvironmentVariable(System.String,System.String)",,,,,"Environment.SetEnvironmentVariable(Key, Dir.FullName);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\AutomationScripts.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\SyncDDC.cs,302,7,M:System.TimeSpan.FromSeconds(System.Double),,,,,NextUpdateTime = CurrentTime + TimeSpan.FromSeconds(10.0);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\AutomationScripts.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\SyncDDC.cs,290,4,M:System.TimeSpan.FromSeconds(System.Double),,,,,DateTime NextUpdateTime = DateTime.UtcNow + TimeSpan.FromSeconds(0.5);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\AutomationScripts.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\SyncDDC.cs,179,3,M:System.TimeSpan.FromDays(System.Double),,,,,DateTime OldestLastWriteTimeUtc = DateTime.Now - TimeSpan.FromDays(MaxDays);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\AutomationScripts.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\CleanAutomationReports.cs,52,3,M:System.TimeSpan.FromDays(System.Double),,,,,DateTime RetainTime = DateTime.UtcNow - TimeSpan.FromDays(DaysValue);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\AutomationScripts.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\UploadDDCToAWS.cs,829,4,M:System.TimeSpan.FromSeconds(System.Double),,,,,Thread.Sleep(TimeSpan.FromSeconds(5.0));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\AutomationScripts.Automation.csproj,File,F:\UnrealEngine_5.7.4\UE_5.7\Engine\Source\Programs\AutomationTool\Scripts\UploadDDCToAWS.cs,706,5,M:System.TimeSpan.FromSeconds(System.Double),,,,,Queue.Wait(TimeSpan.FromSeconds(10.0));
